Year,Tierras de cultivo[Kha],Tierras agrícolas[Kha],Tierras arables[Kha],Tierr. dedicadas a praderas y pastizales perman.[Kha],Tierras destinadas a cultivos permanentes[Kha],Tierras en barbecho[Kha],Tierras destinadas a cultivos temporales[Kha],Tierr. destinadas a praderas y pastizales tempor.[Kha],Praderas y pastizales permanentes naturales[Kha],Praderas y pastizales permanentes cultivados[Kha],Tierr. agrícolas bajo cubiertas protectoras[Kha],Chickens[Heads],Cattle[Heads],Goats[Heads],Sheep[Heads],Buffaloes[Heads],Pigs[Heads],kg eq de petróleo per cápita,kWh per cápita,Population,Forest_area[Kha],Area_Selvática[Kha],N_incendios(Amazonía BR),Gold price[USD],CH4 in Agriculture (tonnes CO₂e),CH4 in Fugitive emissions (tonnes CO₂e),CH4 in Waste (tonnes CO₂e),CH4 in Land use change and forestry (tonnes CO₂e),CH4 in Industry (tonnes CO₂e),CH4 in Other fuel combustion (tonnes CO₂e),N02 Total including land use change and forestry (tonnes CO₂e),CO2 Total (tonnes)
1998,1598179.7999999996,5281621.02,1459380.6,3683441.22,138799.2,8863.0,0.0,0.0,0.0,0.0,0.0,16262089000.0,1412693121.0,856121198.0,1172186444.0,183211316.0,1278714112.0,409278.1216791408,582275.8569396511,5984794112,4342942.020300001,4070135.67,20013.971,294.09,6517580000.0,3858820000.0,2897810000.0,1023530000.0,13170000.0,756010000.0,5453480000.0,2501813279497.7695
1999,1601388.2999999996,5284178.22,1459728.0000000002,3682789.92,141660.3,8698.0,0.0,0.0,0.0,0.0,0.0,17065330000.0,1418446693.0,881908628.0,1189075550.0,184943049.0,1319562294.0,406421.1063459641,591871.1031927023,6064239104,4337075.8462000005,4062868.97,26882.821,278.57,6577130000.0,3899600000.0,2884380000.0,791200000.0,13940000.0,760500000.0,5387520000.0,1367172221109.7693
2000,1598015.12,5288636.0,1454431.5699999996,3690620.88,143583.55,9084.95,0.0,0.0,0.0,0.0,0.0,18014437000.0,1424549759.0,907252160.0,1197473408.0,186849897.0,1337635453.0,407955.6198660051,605625.8752044649,6143494144,4331209.6723,4055602.23,27351.251,279.1,6582530000.0,3996360000.0,2879590000.0,625840000.0,19810000.0,750630000.0,5350400000.0,727192362166.7692
2001,1592676.3708,5281914.470799998,1446734.4300000004,3689238.1,145941.78,113717.19999999998,190502.32,19155.21,463125.0,143624.2,0.0,18723769000.0,1421927200.0,921302837.0,1174408785.0,189045179.0,1306011420.0,417434.9852125364,614291.7257459803,6222626816,4328349.5214,4051030.33,29071.612,271.04,6623240000.0,4120120000.0,2844810000.0,647250000.0,19480000.0,770630000.0,5428030000.0,589947356476.4834
2002,1587329.65,5266591.07,1439858.08,3679261.42,147471.47,134021.72999999998,346964.52,48466.7,568089.9,160455.3,0.0,20217806000.0,1428529928.0,929761863.0,1166830477.0,191434819.0,1319322995.0,420252.1450811628,626224.3601326474,6301772800,4325489.3705,4046458.41,37390.60000000001,309.68,6648880000.0,4196380000.0,2826420000.0,1140380000.0,19620000.0,780360000.0,5558410000.0,1205205695919.714
2003,1588051.94,5246290.970000002,1437799.79,3658239.03,150252.15,143935.04900000006,398502.5850000001,49258.856,464821.1,155784.09999999998,0.0,20159307000.0,1439226399.0,948716079.0,1179128382.0,194243011.0,1323360325.0,429199.0317213988,639813.2515705642,6381185024,4322629.2198,4041886.5200000005,42760.674000000006,363.32,6631110000.0,4375390000.0,2809930000.0,1023200000.0,20150000.0,795760000.0,5590650000.0,1451344997639.7144
2004,1595130.38,5210371.28,1441323.95,3615240.9,153806.43,132530.57,401949.97,47341.46,472733.6,188660.9,0.0,20956780000.0,1452482572.0,975136004.0,1217176410.0,196301811.0,1313686726.0,437615.37815584865,651625.3920266703,6461158912,4319769.069,4037314.6,38453.163,409.17,6735170000.0,4487850000.0,2777450000.0,1181680000.0,20190000.0,806080000.0,5721690000.0,2087603658419.714
2005,1600838.73,5220848.75,1444260.17,3620010.02,156578.56,132258.32,409327.04,46301.88000000001,454603.9,191006.5,0.0,21668240000.0,1465399210.0,1003008349.0,1256595978.0,199371789.0,1332701959.0,436683.44763471076,663109.7366227746,6541906944,4316908.9182,4032742.7,35004.965,444.45,6788420000.0,4570390000.0,2748770000.0,1026870000.0,20040000.0,803000000.0,5711680000.0,1118543306387.7146
2006,1591868.22,5214316.16,1432411.74,3622447.94,159457.1313,118769.5,405984.23,44875.45999999999,464610.5,193248.1,0.0,22044060000.0,1479334177.0,999049133.0,1260618235.0,203106269.0,1365627431.0,447577.94381076295,678377.9568814763,6623518208,4314048.7673,4029328.76,33832.161,603.77,6839370000.0,4746340000.0,2762450000.0,1121100000.0,20250000.0,815220000.0,5770060000.0,7110370812969.715
2007,1594217.43,5209112.02,1430834.13,3614894.59,163383.30000000002,118194.2,411256.95,43159.779999999984,491530.9,202956.0,0.0,23012073000.0,1484981707.0,1018802186.0,1266893302.0,206789865.0,1345023015.0,451843.3463777266,691299.5506596805,6705947136,4311188.6165000005,4025914.7700000005,33037.413,695.39,6907120000.0,4877070000.0,2769630000.0,932050000.0,20820000.0,829520000.0,5867580000.0,542398641625.71436
