,Chickens[Heads],Cattle[Heads],Goats[Heads],Sheep[Heads],Buffaloes[Heads],Pigs[Heads]
1998,16262089000.0,1412693121.0,856121198.0,1172186444.0,183211316.0,1278714112.0
1999,17065330000.0,1418446693.0,881908628.0,1189075550.0,184943049.0,1319562294.0
2000,18014437000.0,1424549759.0,907252160.0,1197473408.0,186849897.0,1337635453.0
2001,18723769000.0,1421927200.0,921302837.0,1174408785.0,189045179.0,1306011420.0
2002,20217806000.0,1428529928.0,929761863.0,1166830477.0,191434819.0,1319322995.0
2003,20159307000.0,1439226399.0,948716079.0,1179128382.0,194243011.0,1323360325.0
2004,20956780000.0,1452482572.0,975136004.0,1217176410.0,196301811.0,1313686726.0
2005,21668240000.0,1465399210.0,1003008349.0,1256595978.0,199371789.0,1332701959.0
2006,22044060000.0,1479334177.0,999049133.0,1260618235.0,203106269.0,1365627431.0
2007,23012073000.0,1484981707.0,1018802186.0,1266893302.0,206789865.0,1345023015.0
2008,24000053000.0,1498367017.0,1045958155.0,1249078169.0,209013157.0,1385392380.0
2009,24942994000.0,1480589523.0,1062328562.0,1245239199.0,224246978.0,1446398759.0
2010,25547358000.0,1480624021.0,1060346783.0,1244369448.0,223498447.0,1445905453.0
2011,24661269000.0,1481815740.0,1073540697.0,1264568995.0,223337483.0,1450940354.0
2012,25406327000.0,1491532136.0,1091211681.0,1279543181.0,223825531.0,1470606226.0
2013,25788761000.0,1495100835.0,1106942193.0,1310762624.0,223737572.0,1464391776.0
2014,25751446000.0,1502946514.0,1121307778.0,1305056796.0,225030802.0,1474566031.0
2015,26361801000.0,1512280741.0,1139499857.0,1341519496.0,226756601.0,1468638199.0
2016,28138989000.0,1531938404.0,1166970031.0,1359349036.0,229783450.0,1448514609.0
2017,28514517000.0,1535274136.0,1166397756.0,1363464025.0,230770417.0,1418232595.0
2018,29079694000.0,1553162432.0,1184298887.0,1373546174.0,233719311.0,1425507453.0
