Year,Agriculture (tonnes CO₂e),Fugitive emissions (tonnes CO₂e),Waste (tonnes CO₂e),Land use change and forestry (tonnes CO₂e),Industry (tonnes CO₂e),Other fuel combustion (tonnes CO₂e),Year
1998,6517580000.0,3858820000.0,2897810000.0,1023530000.0,13170000.0,756010000.0,1998
1999,6577130000.0,3899600000.0,2884380000.0,791200000.0,13940000.0,760500000.0,1999
2000,6582530000.0,3996360000.0,2879590000.0,625840000.0,19810000.0,750630000.0,2000
2001,6623240000.0,4120120000.0,2844810000.0,647250000.0,19480000.0,770630000.0,2001
2002,6648880000.0,4196380000.0,2826420000.0,1140380000.0,19620000.0,780360000.0,2002
2003,6631110000.0,4375390000.0,2809930000.0,1023200000.0,20150000.0,795760000.0,2003
2004,6735170000.0,4487850000.0,2777450000.0,1181680000.0,20190000.0,806080000.0,2004
2005,6788420000.0,4570390000.0,2748770000.0,1026870000.0,20040000.0,803000000.0,2005
2006,6839370000.0,4746340000.0,2762450000.0,1121100000.0,20250000.0,815220000.0,2006
2007,6907120000.0,4877070000.0,2769630000.0,932050000.0,20820000.0,829520000.0,2007
2008,6936680000.0,5047840000.0,2770680000.0,851110000.0,19980000.0,847660000.0,2008
2009,6922930000.0,5044370000.0,2778800000.0,1007010000.0,18730000.0,860250000.0,2009
2010,6982620000.0,5193430000.0,2791930000.0,900420000.0,19450000.0,879830000.0,2010
2011,7091030000.0,5257340000.0,2789710000.0,910420000.0,19370000.0,910600000.0,2011
2012,7110250000.0,5289860000.0,2801970000.0,988640000.0,19320000.0,953720000.0,2012
2013,7038560000.0,5305160000.0,2809880000.0,901780000.0,19320000.0,1012820000.0,2013
2014,7081520000.0,5320170000.0,2863730000.0,1025020000.0,19690000.0,1047520000.0,2014
