,Year,US dollar
1,1978,193.44
2,1979,304.68
3,1980,614.5
4,1981,459.26
5,1982,375.3
6,1983,423.66
7,1984,360.78
8,1985,317.3
9,1986,367.85
10,1987,446.22
11,1988,436.86
12,1989,380.82
13,1990,383.56
14,1991,362.26
15,1992,343.95
16,1993,359.82
17,1994,384.15
18,1995,384.05
19,1996,387.87
20,1997,331.29
21,1998,294.09
22,1999,278.57
23,2000,279.1
24,2001,271.04
25,2002,309.68
26,2003,363.32
27,2004,409.17
28,2005,444.45
29,2006,603.77
30,2007,695.39
31,2008,871.96
32,2009,972.35
33,2010,1224.52
34,2011,1571.52
35,2012,1668.98
36,2013,1411.23
37,2014,1266.4
38,2015,1160.06
39,2016,1250.8
40,2017,1257.15
41,2018,1268.49
42,2019,1392.6
