Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1961,Y1961F,Y1962,Y1962F,Y1963,Y1963F,Y1964,Y1964F,Y1965,Y1965F,Y1966,Y1966F,Y1967,Y1967F,Y1968,Y1968F,Y1969,Y1969F,Y1970,Y1970F,Y1971,Y1971F,Y1972,Y1972F,Y1973,Y1973F,Y1974,Y1974F,Y1975,Y1975F,Y1976,Y1976F,Y1977,Y1977F,Y1978,Y1978F,Y1979,Y1979F,Y1980,Y1980F,Y1981,Y1981F,Y1982,Y1982F,Y1983,Y1983F,Y1984,Y1984F,Y1985,Y1985F,Y1986,Y1986F,Y1987,Y1987F,Y1988,Y1988F,Y1989,Y1989F,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F
"2","Afghanistan","6610","Agricultural land","7209","Share in Land area","%","57.750000","Fc","57.840000","Fc","57.910000","Fc","58.010000","Fc","58.010000","Fc","58.070000","Fc","58.170000","Fc","58.170000","Fc","58.200000","Fc","58.210000","Fc","58.260000","Fc","58.280000","Fc","58.280000","Fc","58.280000","Fc","58.280000","Fc","58.280000","Fc","58.280000","Fc","58.280000","Fc","58.280000","Fc","58.280000","Fc","58.290000","Fc","58.290000","Fc","58.290000","Fc","58.290000","Fc","58.290000","Fc","58.290000","Fc","58.270000","Fc","58.270000","Fc","58.270000","Fc","58.270000","Fc","58.250000","Fc","58.250000","Fc","58.100000","Fc","57.920000","Fc","57.830000","Fc","57.830000","Fc","57.880000","Fc","58.000000","Fc","57.830000","Fc","57.830000","Fc","57.830000","Fc","57.830000","Fc","58.070000","Fc","58.070000","Fc","58.070000","Fc","58.070000","Fc","58.070000","Fc","58.070000","Fc","58.070000","Fc","58.070000","Fc","58.070000","Fc","58.070000","Fc","58.070000","Fc","58.070000","Fc","58.070000","Fc","58.070000","Fc","58.070000","Fc"
"2","Afghanistan","6621","Arable land","7208","Share in Agricultural land","%","20.290000","Fc","20.390000","Fc","20.500000","Fc","20.600000","Fc","20.590000","Fc","20.670000","Fc","20.650000","Fc","20.650000","Fc","20.690000","Fc","20.710000","Fc","20.770000","Fc","20.790000","Fc","20.790000","Fc","20.790000","Fc","20.790000","Fc","20.790000","Fc","20.790000","Fc","20.790000","Fc","20.790000","Fc","20.790000","Fc","20.790000","Fc","20.790000","Fc","20.790000","Fc","20.790000","Fc","20.790000","Fc","20.790000","Fc","20.790000","Fc","20.790000","Fc","20.790000","Fc","20.790000","Fc","20.800000","Fc","20.800000","Fc","20.630000","Fc","20.370000","Fc","20.270000","Fc","20.260000","Fc","20.340000","Fc","20.480000","Fc","20.270000","Fc","20.350000","Fc","20.350000","Fc","20.340000","Fc","20.500000","Fc","20.620000","Fc","20.590000","Fc","20.560000","Fc","20.560000","Fc","20.560000","Fc","20.560000","Fc","20.560000","Fc","20.550000","Fc","20.550000","Fc","20.540000","Fc","20.500000","Fc","20.480000","Fc","20.390000","Fc","20.310000","Fc"
"2","Afghanistan","6650","Land under permanent crops","7208","Share in Agricultural land","%","0.130000","Fc","0.160000","Fc","0.160000","Fc","0.190000","Fc","0.200000","Fc","0.210000","Fc","0.360000","Fc","0.360000","Fc","0.360000","Fc","0.360000","Fc","0.360000","Fc","0.360000","Fc","0.360000","Fc","0.360000","Fc","0.360000","Fc","0.360000","Fc","0.370000","Fc","0.370000","Fc","0.370000","Fc","0.370000","Fc","0.380000","Fc","0.380000","Fc","0.380000","Fc","0.380000","Fc","0.380000","Fc","0.380000","Fc","0.350000","Fc","0.340000","Fc","0.340000","Fc","0.340000","Fc","0.320000","Fc","0.320000","Fc","0.290000","Fc","0.290000","Fc","0.260000","Fc","0.280000","Fc","0.280000","Fc","0.290000","Fc","0.260000","Fc","0.190000","Fc","0.190000","Fc","0.200000","Fc","0.360000","Fc","0.250000","Fc","0.280000","Fc","0.310000","Fc","0.310000","Fc","0.310000","Fc","0.310000","Fc","0.310000","Fc","0.310000","Fc","0.320000","Fc","0.330000","Fc","0.370000","Fc","0.380000","Fc","0.480000","Fc","0.560000","Fc"
"2","Afghanistan","6620","Cropland","7208","Share in Agricultural land","%","20.420000","Fc","20.550000","Fc","20.660000","Fc","20.790000","Fc","20.790000","Fc","20.870000","Fc","21.010000","Fc","21.010000","Fc","21.040000","Fc","21.070000","Fc","21.130000","Fc","21.150000","Fc","21.150000","Fc","21.150000","Fc","21.150000","Fc","21.150000","Fc","21.160000","Fc","21.160000","Fc","21.150000","Fc","21.150000","Fc","21.160000","Fc","21.160000","Fc","21.160000","Fc","21.160000","Fc","21.160000","Fc","21.160000","Fc","21.150000","Fc","21.140000","Fc","21.140000","Fc","21.140000","Fc","21.110000","Fc","21.110000","Fc","20.920000","Fc","20.660000","Fc","20.540000","Fc","20.530000","Fc","20.610000","Fc","20.780000","Fc","20.540000","Fc","20.540000","Fc","20.540000","Fc","20.540000","Fc","20.870000","Fc","20.870000","Fc","20.870000","Fc","20.870000","Fc","20.870000","Fc","20.870000","Fc","20.870000","Fc","20.870000","Fc","20.870000","Fc","20.870000","Fc","20.870000","Fc","20.870000","Fc","20.870000","Fc","20.870000","Fc","20.870000","Fc"
"2","Afghanistan","6620","Cropland","7209","Share in Land area","%","11.790000","Fc","11.890000","Fc","11.960000","Fc","12.060000","Fc","12.060000","Fc","12.120000","Fc","12.220000","Fc","12.220000","Fc","12.250000","Fc","12.260000","Fc","12.310000","Fc","12.320000","Fc","12.330000","Fc","12.330000","Fc","12.330000","Fc","12.330000","Fc","12.330000","Fc","12.330000","Fc","12.330000","Fc","12.330000","Fc","12.330000","Fc","12.340000","Fc","12.340000","Fc","12.340000","Fc","12.340000","Fc","12.340000","Fc","12.320000","Fc","12.320000","Fc","12.320000","Fc","12.320000","Fc","12.300000","Fc","12.300000","Fc","12.150000","Fc","11.970000","Fc","11.880000","Fc","11.870000","Fc","11.930000","Fc","12.050000","Fc","11.880000","Fc","11.880000","Fc","11.880000","Fc","11.880000","Fc","12.120000","Fc","12.120000","Fc","12.120000","Fc","12.120000","Fc","12.120000","Fc","12.120000","Fc","12.120000","Fc","12.120000","Fc","12.120000","Fc","12.120000","Fc","12.120000","Fc","12.120000","Fc","12.120000","Fc","12.120000","Fc","12.120000","Fc"
"2","Afghanistan","6655","Land under perm. meadows and pastures","7208","Share in Agricultural land","%","79.580000","Fc","79.450000","Fc","79.340000","Fc","79.210000","Fc","79.210000","Fc","79.130000","Fc","78.990000","Fc","78.990000","Fc","78.960000","Fc","78.930000","Fc","78.870000","Fc","78.850000","Fc","78.850000","Fc","78.850000","Fc","78.850000","Fc","78.850000","Fc","78.840000","Fc","78.840000","Fc","78.850000","Fc","78.850000","Fc","78.840000","Fc","78.840000","Fc","78.840000","Fc","78.840000","Fc","78.840000","Fc","78.840000","Fc","78.850000","Fc","78.860000","Fc","78.860000","Fc","78.860000","Fc","78.890000","Fc","78.890000","Fc","79.080000","Fc","79.340000","Fc","79.460000","Fc","79.470000","Fc","79.390000","Fc","79.220000","Fc","79.460000","Fc","79.460000","Fc","79.460000","Fc","79.460000","Fc","79.130000","Fc","79.130000","Fc","79.130000","Fc","79.130000","Fc","79.130000","Fc","79.130000","Fc","79.130000","Fc","79.130000","Fc","79.130000","Fc","79.130000","Fc","79.130000","Fc","79.130000","Fc","79.130000","Fc","79.130000","Fc","79.130000","Fc"
"2","Afghanistan","6655","Land under perm. meadows and pastures","7209","Share in Land area","%","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc","45.950000","Fc"
"2","Afghanistan","6611","Agriculture area actually irrigated","7208","Share in Agricultural land","%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.670000","Fc","4.620000","Fc","7.260000","Fc","5.500000","Fc","5.840000","Fc","6.090000","Fc","5.940000","Fc","5.780000","Fc","4.840000","Fc","5.000000","Fc","5.390000","Fc","5.470000","Fc","5.520000","Fc","5.740000","Fc","5.710000","Fc","6.480000","Fc","5.990000","Fc"
"2","Afghanistan","6690","Land area equipped for irrigation","7208","Share in Agricultural land","%","6.310000","Fc","6.300000","Fc","6.290000","Fc","6.280000","Fc","6.280000","Fc","6.280000","Fc","6.280000","Fc","6.280000","Fc","6.280000","Fc","6.280000","Fc","6.270000","Fc","6.270000","Fc","6.310000","Fc","6.350000","Fc","6.390000","Fc","6.430000","Fc","6.470000","Fc","6.500000","Fc","6.540000","Fc","6.580000","Fc","6.620000","Fc","6.660000","Fc","6.700000","Fc","6.780000","Fc","6.800000","Fc","7.150000","Fc","7.230000","Fc","7.490000","Fc","7.620000","Fc","7.620000","Fc","7.890000","Fc","8.150000","Fc","8.430000","Fc","8.460000","Fc","8.470000","Fc","8.470000","Fc","8.470000","Fc","8.450000","Fc","8.480000","Fc","8.480000","Fc","8.480000","Fc","8.500000","Fc","8.460000","Fc","8.460000","Fc","8.460000","Fc","8.460000","Fc","8.460000","Fc","8.460000","Fc","8.460000","Fc","8.460000","Fc","8.460000","Fc","8.460000","Fc","8.460000","Fc","8.460000","Fc","8.460000","Fc","8.460000","Fc","8.460000","Fc"
"2","Afghanistan","6690","Land area equipped for irrigation","7252","Share in Cropland","%","30.910000","Fc","30.670000","Fc","30.470000","Fc","30.230000","Fc","30.220000","Fc","30.080000","Fc","29.900000","Fc","29.900000","Fc","29.840000","Fc","29.800000","Fc","29.690000","Fc","29.650000","Fc","29.820000","Fc","30.010000","Fc","30.190000","Fc","30.380000","Fc","30.560000","Fc","30.750000","Fc","30.940000","Fc","31.120000","Fc","31.290000","Fc","31.480000","Fc","31.660000","Fc","32.050000","Fc","32.110000","Fc","33.760000","Fc","34.180000","Fc","35.450000","Fc","36.070000","Fc","36.070000","Fc","37.360000","Fc","38.610000","Fc","40.320000","Fc","40.940000","Fc","41.260000","Fc","41.270000","Fc","41.070000","Fc","40.680000","Fc","41.270000","Fc","41.270000","Fc","41.270000","Fc","41.380000","Fc","40.560000","Fc","40.550000","Fc","40.560000","Fc","40.560000","Fc","40.560000","Fc","40.560000","Fc","40.560000","Fc","40.550000","Fc","40.560000","Fc","40.560000","Fc","40.560000","Fc","40.560000","Fc","40.560000","Fc","40.560000","Fc","40.560000","Fc"
