Domain,Indicator,Item,Element,CountryCode,CountryName,Region,Scenario,Units,Year,Value
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,CHN,"China, mainland",China,Toward Sustainability,Tons of nutrients,2012,38197742.9941305
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,CHN,"China, mainland",China,Toward Sustainability,Tons of nutrients,2030,23888061.7228917
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,CHN,"China, mainland",China,Toward Sustainability,Tons of nutrients,2035,18233879.9465555
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,CHN,"China, mainland",China,Toward Sustainability,Tons of nutrients,2040,12317611.2675021
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,CHN,"China, mainland",China,Toward Sustainability,Tons of nutrients,2050,0
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,CHN,"China, mainland",China,Business As Usual,Tons of nutrients,2012,38197742.9941305
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,CHN,"China, mainland",China,Business As Usual,Tons of nutrients,2030,47577632.997881
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,CHN,"China, mainland",China,Business As Usual,Tons of nutrients,2035,48197768.4803774
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,CHN,"China, mainland",China,Business As Usual,Tons of nutrients,2040,48469466.0611062
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,CHN,"China, mainland",China,Business As Usual,Tons of nutrients,2050,48860316.1853367
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,CHN,"China, mainland",China,Stratified Societies,Tons of nutrients,2012,38197742.9941305
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,CHN,"China, mainland",China,Stratified Societies,Tons of nutrients,2030,49213471.6791546
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,CHN,"China, mainland",China,Stratified Societies,Tons of nutrients,2035,50508300.4053913
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,CHN,"China, mainland",China,Stratified Societies,Tons of nutrients,2040,51344607.372008
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,CHN,"China, mainland",China,Stratified Societies,Tons of nutrients,2050,52748571.4782884
Fertilizer and Emissions,GHG emissions in agriculture,Total,Total,CHN,"China, mainland",China,Toward Sustainability,t CO2 eq,2012,643958733.498362
Fertilizer and Emissions,GHG emissions in agriculture,Total,Total,CHN,"China, mainland",China,Toward Sustainability,t CO2 eq,2030,559729397.687324
Fertilizer and Emissions,GHG emissions in agriculture,Total,Total,CHN,"China, mainland",China,Toward Sustainability,t CO2 eq,2035,512387869.203432
Fertilizer and Emissions,GHG emissions in agriculture,Total,Total,CHN,"China, mainland",China,Toward Sustainability,t CO2 eq,2040,466289674.46113
Fertilizer and Emissions,GHG emissions in agriculture,Total,Total,CHN,"China, mainland",China,Toward Sustainability,t CO2 eq,2050,379111846.515005
Fertilizer and Emissions,GHG emissions in agriculture,Total,Total,CHN,"China, mainland",China,Business As Usual,t CO2 eq,2012,643958733.498362
Fertilizer and Emissions,GHG emissions in agriculture,Total,Total,CHN,"China, mainland",China,Business As Usual,t CO2 eq,2030,712460765.154624
Fertilizer and Emissions,GHG emissions in agriculture,Total,Total,CHN,"China, mainland",China,Business As Usual,t CO2 eq,2035,701775923.403516
Fertilizer and Emissions,GHG emissions in agriculture,Total,Total,CHN,"China, mainland",China,Business As Usual,t CO2 eq,2040,690455336.284033
Fertilizer and Emissions,GHG emissions in agriculture,Total,Total,CHN,"China, mainland",China,Business As Usual,t CO2 eq,2050,669510770.728038
Fertilizer and Emissions,GHG emissions in agriculture,Total,Total,CHN,"China, mainland",China,Stratified Societies,t CO2 eq,2012,643958733.498362
Fertilizer and Emissions,GHG emissions in agriculture,Total,Total,CHN,"China, mainland",China,Stratified Societies,t CO2 eq,2030,787716121.06943
Fertilizer and Emissions,GHG emissions in agriculture,Total,Total,CHN,"China, mainland",China,Stratified Societies,t CO2 eq,2035,790099947.238188
Fertilizer and Emissions,GHG emissions in agriculture,Total,Total,CHN,"China, mainland",China,Stratified Societies,t CO2 eq,2040,786616444.026723
Fertilizer and Emissions,GHG emissions in agriculture,Total,Total,CHN,"China, mainland",China,Stratified Societies,t CO2 eq,2050,772770684.910257
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,IDN,Indonesia,EAP excluding China,Toward Sustainability,Tons of nutrients,2012,6662755.82870072
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,IDN,Indonesia,EAP excluding China,Toward Sustainability,Tons of nutrients,2030,4258336.36555152
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,IDN,Indonesia,EAP excluding China,Toward Sustainability,Tons of nutrients,2035,3298730.46340017
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,IDN,Indonesia,EAP excluding China,Toward Sustainability,Tons of nutrients,2040,2266279.89122834
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,IDN,Indonesia,EAP excluding China,Toward Sustainability,Tons of nutrients,2050,0
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,IDN,Indonesia,EAP excluding China,Business As Usual,Tons of nutrients,2012,6662755.82870072
Fertilizer and Emissions,NPK Consumption,NPK_consumption,Total,IDN,Indonesia,EAP excluding China,Business As Usual,Tons of nutrients,2030,8340936.68286081
