Domain,Indicator,Item,Element,CountryCode,CountryName,Region,Scenario,Units,Year,Value
Macro Indicators,GDP per capita,Total,GDP at market prices,CHN,"China, mainland",China,Toward Sustainability,"1000 US$, 2012 prices",2012,6.262
Macro Indicators,GDP per capita,Total,GDP at market prices,CHN,"China, mainland",China,Toward Sustainability,"1000 US$, 2012 prices",2030,19.418
Macro Indicators,GDP per capita,Total,GDP at market prices,CHN,"China, mainland",China,Toward Sustainability,"1000 US$, 2012 prices",2035,22.534
Macro Indicators,GDP per capita,Total,GDP at market prices,CHN,"China, mainland",China,Toward Sustainability,"1000 US$, 2012 prices",2040,24.946
Macro Indicators,GDP per capita,Total,GDP at market prices,CHN,"China, mainland",China,Toward Sustainability,"1000 US$, 2012 prices",2050,27.731
Macro Indicators,GDP per capita,Total,GDP at market prices,CHN,"China, mainland",China,Business As Usual,"1000 US$, 2012 prices",2012,6.262
Macro Indicators,GDP per capita,Total,GDP at market prices,CHN,"China, mainland",China,Business As Usual,"1000 US$, 2012 prices",2030,17.319
Macro Indicators,GDP per capita,Total,GDP at market prices,CHN,"China, mainland",China,Business As Usual,"1000 US$, 2012 prices",2035,19.116
Macro Indicators,GDP per capita,Total,GDP at market prices,CHN,"China, mainland",China,Business As Usual,"1000 US$, 2012 prices",2040,20.62
Macro Indicators,GDP per capita,Total,GDP at market prices,CHN,"China, mainland",China,Business As Usual,"1000 US$, 2012 prices",2050,22.895
Macro Indicators,GDP per capita,Total,GDP at market prices,CHN,"China, mainland",China,Stratified Societies,"1000 US$, 2012 prices",2012,6.262
Macro Indicators,GDP per capita,Total,GDP at market prices,CHN,"China, mainland",China,Stratified Societies,"1000 US$, 2012 prices",2030,19.367
Macro Indicators,GDP per capita,Total,GDP at market prices,CHN,"China, mainland",China,Stratified Societies,"1000 US$, 2012 prices",2035,23.01
Macro Indicators,GDP per capita,Total,GDP at market prices,CHN,"China, mainland",China,Stratified Societies,"1000 US$, 2012 prices",2040,26.558
Macro Indicators,GDP per capita,Total,GDP at market prices,CHN,"China, mainland",China,Stratified Societies,"1000 US$, 2012 prices",2050,33.272
Macro Indicators,Population,Total,Total population,CHN,"China, mainland",China,Toward Sustainability,million people,2012,1355.387
Macro Indicators,Population,Total,Total population,CHN,"China, mainland",China,Toward Sustainability,million people,2030,1415.545
Macro Indicators,Population,Total,Total population,CHN,"China, mainland",China,Toward Sustainability,million people,2035,1408.316
Macro Indicators,Population,Total,Total population,CHN,"China, mainland",China,Toward Sustainability,million people,2040,1394.715
Macro Indicators,Population,Total,Total population,CHN,"China, mainland",China,Toward Sustainability,million people,2050,1348.056
Macro Indicators,Population,Total,Total population,CHN,"China, mainland",China,Business As Usual,million people,2012,1355.387
