Codigo_PRTR,index,Nombre_del_complejo,Cantidad_total_atmosfera,Empresa_matriz,Municipio,Provincia,Longitud,Latitud,CNAE_2009,Actividad económica principal
9680,1,LAUREANA MARTIN ,377.794,"POLLOS CANO, S.L.",Salvatierra de los Barros,Badajoz,-6.385402,38.29922,Avicultura,"EXPLOTACIÓN AVICOLA, CRÍA Y ENGORDE DE POLLOS"
2166,2,PRODUCCIONES AVÍCOLAS EL GRANJERO S.L. ,227,PRODUCCIONES AVÍCOLAS EL GRANJERO,San Cristóbal de Cuéllar,Segovia,-4.377961,41.429583,Avicultura,CRÍA INTENSIVA DE AVES
1719,3,"GRANJA MADAX CEBO Nº1, 2, 3, 4 Y LECHONERAS ",334.83,"CEFU, S.A.",Hellín,Albacete,-1.5411,38.4533,Explotación de ganado porcino,ENGORDE DE CERDOS
1909,4,EXPLOTACION DE POLLOS ENGORDE ALTAPEDRA CORTEGADA ,225,COOPERATIVA ALTAPEDRA,Sarreaus,Ourense,-7.672242,42.13098,Avicultura,Avicultura
7201,5,DAGU AGROPECUARIA S.L. ,220.07,"DAGU AGROPECUARIA, S.L.",Fuentelahiguera de Albatages,Guadalajara,-3.34196,40.75054,Avicultura,EXPLOTACIÓN AVÍCOLA
6332,6,EXPLOTACIÓN PORCINA FINCA DEHESA DEL REY ,207,"CEFU, S.A.",Castilléjar,Granada,-2.649985,37.717289,Explotación de ganado porcino,EXPLOTACIÓN DE GANADO PORCINO
8698,7,CRÍA Y PRODUCCIÓN AVÍCOLA S.L ,180,"CRÍA Y PRODUCCIÓN AVÍCOLA, S.L",Olombrada,Segovia,-4.219444,41.46,Avicultura,GALLINAS DE PUESTA
8633,8,ES501540000803-GALLINAS-MAINAR ,156,SAT Nº 1733 GRANJA SAN MIGUEL,Mainar,Zaragoza,-1.322743,41.192142,Avicultura,
3771,9,SAT 1511 RESERVADO LA ANDAYA (GRANJA MARTINEZ) ,154,SAT 1511 RESERVADO LA ANDAYA,Tordómar,Burgos,-3.869444,42.054167,Avicultura,AVILCULTURA PONEDORAS
4105,10,GRANJA PINILLA S.L (OLMEDO) ,144,GRANJA PINILLA S.L,Olmedo,Valladolid,-4.736533,41.291547,Avicultura,EXPLOTACIÓN AVICOLA
4546,11,"HUEVOS GUILLÉN NAVARRA, S.L. ",140.238,"HUEVOS GUILLÉN NAVARRA, S.L.",Abárzuza/Abartzuza,Navarra,-2.01886,42.72879,Avicultura,GRANJA AVÍCOLA DE PUESTA
7982,12,"AVICOLA SAN JUAN, S.L. (ANTES FRÍO CLIMA DISEÑO Y DESARROLLO S.L.) ",138.746,"AVICOLA SAN JUAN, S.L. (ANTES FRÍO CLIMA DISEÑO Y DESARROLLO S.L.)",Fuentealbilla,Albacete,-1.5344,39.0585,Avicultura,EXPLOTACIÓN DE 100.000 POLLOS DE CEBO
2673,13,AVÍCOLA LLOMBAY-CATADAU ,138.449,"AVÍCOLA LLOMBAY, S.A.",Catadau,Valencia,-0.570713,39.245641,Avicultura,110000 GALLINAS PARA LA PRODUCCIÓN DE HUEVOS
6294,14,ES221160000851-GALLINAS-GRAÑÉN ,136.6,INTEROVO CALLEN,Grañén,Huesca,-0.363128,41.967069,Avicultura,AVICULTURA
1306,15,GRANJA LA VALL DE SOSES ,120.761,GRANJA LA VALL DE SOSES,Soses,Lleida,0.434707,41.574301,Explotación de ganado porcino,RAMADERA
1379,16,ES222170000001-CERDOS-SENA ,116.395,"CORPORACION ALIMENTARIA DE GUISSONA, S.A.",Sena,Huesca,-0.079824,41.693856,Explotación de ganado porcino,PRODUCCIÓN GANADERA
1107,18,ES500740000129-CERDOS-CASPE ,106.25,PIENSOS COSTA. S.A.,Caspe,Zaragoza,-0.095218,41.296824,Explotación de ganado porcino,Explotación de ganado porcino
4835,19,SIVIMAR-LA CARRASQUILLA ,103.814,SIVIMAR S.L.,Utiel,Valencia,-1.273315,39.607801,Avicultura,PRODUCCIÓN DE AVES DE CARNE
3966,20,EXPLOTACIONES AVICOLAS GARCIA PUENTE S.A. ,102,EXPLOTACIONES AVICOLAS GARCIA PUENTE S.A.,Olmedo,Valladolid,-4.676144,41.2996,Avicultura,Avicultura
8271,21,AVICOLA RIOJA ,100.937,AVICOLA RIOJA,Quel ,Rioja (la),-2.047132,42.260934,Avicultura,Avicultura
6243,22,GRANJA SANTA CRUZ ,100,"MARCO POLO COMERCIO, S.L",Santa Cruz de la Salceda,Burgos,-3.587822,41.577467,Avicultura,CRIA INTENSIVA DE AVES DE CORRAL
4299,23,GRANJA VILLANUEVA ,96.9,"DESARROLLOS PORCINOS DE CASTILLA Y LEÓN, S.L.",Santibañez de la Peña,Palencia,-4.787833,42.756908,01.46 - Explotación de ganado porcino,CRIA INTENSIVA DE GANADO PORCINO
