indice_tiempo,novillo(kg)/maiz(t),novillo(kg)/ternero(kg),ternero(kg)/salario_mensual($),vaquillona(cab)/vacaconserva(cab)
jul-11,87.11,1.45,184.94,2.62
ago-11,81.22,1.4,184.17,2.56
sep-11,80.64,1.46,220.98,1.82
oct-11,76.37,1.43,224.57,1.78
nov-11,70.1,1.41,225.49,2.29
dic-11,71.95,1.52,220.98,2.38
ene-12,72.66,1.4,248.25,2.54
feb-12,88.2,1.3,253.95,1.44
mar-12,70.93,1.24,232.58,1.79
abr-12,73.53,1.28,225.55,2.64
may-12,74.23,1.24,235.15,2.54
jun-12,73.55,1.25,230.25,2.7
jul-12,79.93,1.43,225.55,2.61
ago-12,85.57,1.44,225.55,2.33
sep-12,92.38,1.44,225.55,2.32
oct-12,101.22,1.49,271.58,2.36
nov-12,103.16,1.49,269.81,2.42
dic-12,107.27,1.45,286.48,2.57
ene-13,103.61,1.32,295.95,2.51
feb-13,91.31,1.22,281.97,2.51
mar-13,93.2,1.22,296.2,2.5
abr-13,93.71,1.15,317.18,2.74
may-13,91.75,1.24,300.92,2.76
jun-13,99.3,1.16,309.51,2.47
jul-13,112.56,1.18,314.12,2.26
ago-13,93.37,1.23,293.04,2.25
sep-13,96.9,1.27,287.86,2.31
oct-13,84.94,1.3,309.24,2.06
nov-13,80.23,1.38,251.66,1.8
dic-13,91.01,1.4,246.65,2.36
ene-14,79.4,1.23,290.49,2.76
feb-14,72.54,1.16,259.45,2.67
mar-14,81.17,1.12,261.56,2.82
abr-14,84.12,1.11,260.2,2.55
may-14,88.93,1.08,261.71,2.43
jun-14,90.01,1.12,252.02,2.81
jul-14,73.4,1.16,227.28,2.28
ago-14,62.65,1.27,198.45,1.8
sep-14,58.49,1.48,173.53,1.95
oct-14,56.9,1.5,226.07,2.04
nov-14,57.69,1.51,224.42,2.23
dic-14,62.12,1.43,257.55,2.62
ene-15,63.58,1.49,254.39,2.35
feb-15,57.74,1.46,239.56,2.84
mar-15,57.66,1.47,242.46,2.49
abr-15,55.78,1.36,258.66,2.82
may-15,56.42,1.35,253.85,3.02
jun-15,54.68,1.35,244.84,2.54
jul-15,51.35,1.38,237.48,2.36
ago-15,48.75,1.41,225.86,2.33
sep-15,46.68,1.48,211.68,2.22
oct-15,45.59,1.49,241.16,2.37
nov-15,48.97,1.61,204.57,2.72
dic-15,47.92,1.44,205.98,3.1
ene-16,68.47,1.44,218.09,2.65
feb-16,78.38,1.37,219.77,2.68
mar-16,85.25,1.33,217.84,3.17
abr-16,78.66,1.25,221.55,2.77
may-16,85.78,1.19,221.99,3.26
jun-16,90.37,1.18,214.19,3.06
jul-16,95.17,1.23,208.1,2.73
ago-16,89.89,1.28,200.65,2.21
sep-16,80.2,1.33,233.49,2.41
oct-16,82.23,1.35,266.79,2.45
nov-16,88.13,1.36,270.9,2.44
dic-16,94.42,1.36,277.87,2.58
ene-17,99.09,1.36,287.98,2.13
feb-17,92.86,1.28,282.33,2.2
mar-17,79.9,1.24,274.27,2.4
abr-17,73.65,1.2,274.05,2.56
may-17,74.4,1.2,275.5,2.64
jun-17,73.63,1.16,275.5,2.77
jul-17,69.67,1.22,263.2,2.2
ago-17,70.96,1.27,242.12,1.87
sep-17,69.17,1.33,284.61,1.99
oct-17,70.79,1.37,281.89,2.14
nov-17,71.53,1.37,279.83,2.51
dic-17,73.75,1.36,285.83,2.67
ene-18,81.23,1.37,293.46,2.67
feb-18,83.35,1.27,288.05,2.17
mar-18,97.01,1.26,300.93,2.26
abr-18,104.16,1.22,313.69,2.26
may-18,101.47,1.25,280.95,2.45
jun-18,108.55,1.14,282.26,2.25
jul-18,103.9,1.07,289.63,2.15
ago-18,107.65,1.07,296.2,2.22
sep-18,111.56,1.1,325.24,1.85
oct-18,109.88,1.2,271.46,1.89
nov-18,108.34,1.16,305.16,1.62
dic-18,118.18,1.1,328.07,1.74
ene-19,101.63,1.07,320.73,1.77
feb-19,85.15,1.05,286.97,1.99
mar-19,90.88,1.01,295.77,1.9
abr-19,89.7,1.01,296.51,1.94
may-19,102.86,1.11,276.71,1.93
jun-19,111.49,1.12,272.6,1.78
jul-19,100.9,1.08,284.24,1.76
ago-19,99.53,1.19,295.97,1.95
