Global Land and Ocean Temperature Anomalies, May
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.09
1881,0.03
1882,-0.14
1883,-0.16
1884,-0.22
1885,-0.30
1886,-0.18
1887,-0.25
1888,-0.15
1889,-0.02
1890,-0.38
1891,-0.17
1892,-0.27
1893,-0.32
1894,-0.33
1895,-0.27
1896,-0.13
1897,0.01
1898,-0.26
1899,-0.16
1900,-0.06
1901,-0.11
1902,-0.28
1903,-0.41
1904,-0.45
1905,-0.26
1906,-0.23
1907,-0.46
1908,-0.39
1909,-0.50
1910,-0.32
1911,-0.53
1912,-0.20
1913,-0.40
1914,-0.14
1915,-0.06
1916,-0.31
1917,-0.57
1918,-0.46
1919,-0.25
1920,-0.16
1921,-0.23
1922,-0.30
1923,-0.27
1924,-0.15
1925,-0.21
1926,-0.12
1927,-0.22
1928,-0.21
1929,-0.32
1930,-0.19
1931,-0.15
1932,-0.16
1933,-0.24
1934,-0.06
1935,-0.22
1936,-0.12
1937,-0.02
1938,-0.03
1939,-0.02
1940,0.13
1941,0.28
1942,0.14
1943,0.10
1944,0.25
1945,0.17
1946,-0.03
1947,-0.02
1948,0.07
1949,-0.02
1950,-0.04
1951,0.08
1952,0.05
1953,0.18
1954,-0.17
1955,-0.13
1956,-0.24
1957,0.13
1958,0.10
1959,0.06
1960,-0.05
1961,0.17
1962,0.07
1963,0.04
1964,-0.09
1965,-0.08
1966,-0.04
1967,0.15
1968,-0.09
1969,0.19
1970,0.05
1971,-0.07
1972,0.03
1973,0.23
1974,-0.02
1975,0.08
1976,-0.12
1977,0.27
1978,0.08
1979,0.17
1980,0.37
1981,0.27
1982,0.21
1983,0.32
1984,0.31
1985,0.22
1986,0.27
1987,0.36
1988,0.41
1989,0.28
1990,0.47
1991,0.41
1992,0.33
1993,0.36
1994,0.41
1995,0.37
1996,0.39
1997,0.42
1998,0.71
1999,0.41
2000,0.43
2001,0.62
2002,0.60
2003,0.63
2004,0.45
2005,0.67
2006,0.56
2007,0.61
2008,0.52
2009,0.59
2010,0.77
2011,0.56
2012,0.75
2013,0.69
2014,0.81
2015,0.90
2016,0.95
2017,0.88
2018,0.82
2019,0.87
2020,0.95
